Year;Grade Level;Student Number;Finalgradename;Grade;Course Name;Section number
2023-2024;9;24243;Y1;2.6;Español 8;H
2023-2024;9;24243;Y1;2.8;BE BOLIVAR 8;A
2023-2024;9;24243;Y1;3.6;Expresión 8;A1
2023-2024;9;24243;Y1;2.5;INTEGRATED MATH 1 HONORS;E
2023-2024;9;24243;Y1;2.7;ENGLISH 8;D
2023-2024;9;24243;Y1;3.6;ART 8;A2
2023-2024;9;24243;Y1;3.5;ICT 8;A
2023-2024;9;24243;Y1;2.4;SOCIAL STUDIES 8;G
2023-2024;9;24243;Y1;3.1;SCIENCE 8;B
2023-2024;9;24243;Y1;3.5;HEALTH 8;C2
2023-2024;9;24243;Y1;P;RELIGION;A
2023-2024;9;24243;Y1;2.8;Educación Física 8;F5
2023-2024;9;24243;Y1;2.8;Filosofia - Etica 8;C1
2023-2024;9;24422;Y1;2.9;Español 8;B
2023-2024;9;24422;Y1;3.5;BE BOLIVAR 8;A
2023-2024;9;24422;Y1;3.8;Teatro Musical 8;A2
2023-2024;9;24422;Y1;2.6;INTEGRATED MATH 1;C
2023-2024;9;24422;Y1;2.9;ENGLISH 8;D
2023-2024;9;24422;Y1;3.4;ART 8;A1
2023-2024;9;24422;Y1;3.6;ICT 8;A
2023-2024;9;24422;Y1;3.0;SOCIAL STUDIES 8;G
2023-2024;9;24422;Y1;3.3;SCIENCE 8;H
2023-2024;9;24422;Y1;3.6;HEALTH 8;E2
2023-2024;9;24422;Y1;P;RELIGION;A
2023-2024;9;24422;Y1;3.5;Educación Física 8;F3
2023-2024;9;24422;Y1;3.2;Filosofia - Etica 8;E1
2023-2024;9;24572;Y1;2.0;Español 8;G
2023-2024;9;24572;Y1;2.6;BE BOLIVAR 8;A
2023-2024;9;24572;Y1;2.2;FOOD AND CULTURE;A1
2023-2024;9;24572;Y1;2.3;INTEGRATED MATH 1;C
2023-2024;9;24572;Y1;2.9;ENGLISH 8;H
