Term;Student Number;Grade;Subject;RIT;Percentile;LEXILE SCORE;Grade Level
Spring 2017-2018;15753;8;Language;222;58;;
Spring 2017-2018;15753;8;Mathematics;240;68;;
Spring 2017-2018;15753;8;Reading;228;69;;
Spring 2017-2018;16793;6;Language;219;61;;12
Spring 2017-2018;16793;6;Mathematics;214;25;;12
Spring 2017-2018;16793;6;Reading;196;9;;12
Spring 2017-2018;17203;7;Language;217;48;;
Spring 2017-2018;17203;7;Mathematics;225;42;;
Spring 2017-2018;17203;7;Reading;217;47;;
Spring 2017-2018;17472;7;Language;217;48;;
Spring 2017-2018;17472;7;Mathematics;225;42;;
Spring 2017-2018;17472;7;Reading;225;67;;
Spring 2017-2018;17813;6;Language;210;35;;12
Spring 2017-2018;17813;6;Mathematics;224;47;;12
Spring 2017-2018;17813;6;Reading;209;32;;12
Spring 2017-2018;17962;6;Language;198;10;;12
Spring 2017-2018;17962;6;Mathematics;227;54;;12
Spring 2017-2018;17962;6;Reading;196;9;;12
Spring 2017-2018;18363;7;Language;206;20;;
Spring 2017-2018;18363;7;Mathematics;225;42;;
Spring 2017-2018;18363;7;Reading;216;44;;
Spring 2017-2018;18712;4;Mathematics;209;38;;10
Spring 2017-2018;19682;7;Language;231;84;;
Spring 2017-2018;19682;7;Mathematics;242;78;;
Spring 2017-2018;19682;7;Reading;230;78;;
Spring 2017-2018;21042;4;Mathematics;203;24;;10
Spring 2017-2018;21164;4;Mathematics;201;20;;
Spring 2017-2018;21164;4;Reading;204;45;;
Spring 2017-2018;21833;8;Language;232;82;;
Spring 2017-2018;21833;8;Mathematics;237;62;;
Spring 2017-2018;21833;8;Reading;225;62;;
Spring 2017-2018;21834;4;Mathematics;205;29;;10
Spring 2017-2018;21942;8;Language;219;50;;
Spring 2017-2018;21942;8;Mathematics;230;48;;
Spring 2017-2018;21942;8;Reading;217;42;;
Spring 2017-2018;21973;7;Language;238;93;;
Spring 2017-2018;21973;7;Mathematics;235;64;;
Spring 2017-2018;21973;7;Reading;237;89;;
Spring 2017-2018;22113;2;Mathematics;174;9;;
Spring 2017-2018;22113;2;Reading;175;18;;
Spring 2017-2018;22152;6;Language;217;55;;12
Spring 2017-2018;22152;6;Mathematics;239;79;;12
Spring 2017-2018;22152;6;Reading;222;66;;12
Spring 2017-2018;22632;8;Language;222;58;;
Spring 2017-2018;22632;8;Mathematics;236;60;;
Spring 2017-2018;22632;8;Reading;230;74;;
